2026-06-27T05:19:13Z desired=501 ready=390 available=389 bad=5 stable=0
2026-06-27T05:19:46Z desired=501 ready=481 available=481 bad=108 stable=0
2026-06-27T05:20:50Z desired=701 ready=572 available=571 bad=9 stable=0
2026-06-27T05:21:54Z desired=701 ready=663 available=663 bad=12 stable=0
2026-06-27T05:22:58Z desired=701 ready=670 available=672 bad=7 stable=0
2026-06-27T05:23:23Z desired=701 ready=674 available=675 bad=6 stable=0
2026-06-27T05:23:42Z deleted_bad_pods=6
2026-06-27T05:24:03Z desired=701 ready=688 available=688 bad=2 stable=0
2026-06-27T05:24:42Z desired=701 ready=689 available=690 bad=3 stable=0
2026-06-27T05:24:56Z deleted_bad_pods=3
2026-06-27T05:25:07Z desired=701 ready=692 available=692 bad=0 stable=0
2026-06-27T05:25:56Z desired=701 ready=695 available=695 bad=0 stable=0
2026-06-27T05:26:11Z desired=701 ready=694 available=695 bad=1 stable=0
2026-06-27T05:27:00Z desired=701 ready=698 available=698 bad=0 stable=0
2026-06-27T05:27:16Z desired=701 ready=697 available=697 bad=0 stable=0
2026-06-27T05:28:04Z desired=701 ready=699 available=699 bad=0 stable=0
2026-06-27T05:28:20Z desired=701 ready=699 available=698 bad=1 stable=0
2026-06-27T05:29:08Z desired=701 ready=699 available=699 bad=0 stable=0
2026-06-27T05:29:24Z desired=701 ready=699 available=699 bad=0 stable=0
2026-06-27T05:30:12Z desired=701 ready=699 available=699 bad=0 stable=0
2026-06-27T05:30:28Z desired=701 ready=699 available=699 bad=0 stable=0
2026-06-27T05:31:16Z desired=701 ready=699 available=699 bad=0 stable=0
2026-06-27T05:31:32Z desired=701 ready=699 available=699 bad=0 stable=0
2026-06-27T05:32:21Z desired=651 ready=649 available=649 bad=0 stable=0
2026-06-27T05:32:36Z desired=651 ready=649 available=649 bad=0 stable=0
2026-06-27T05:33:25Z desired=601 ready=598 available=598 bad=0 stable=0
2026-06-27T05:33:40Z desired=601 ready=598 available=599 bad=2 stable=0
2026-06-27T05:34:30Z desired=551 ready=549 available=549 bad=0 stable=0
2026-06-27T05:34:44Z desired=551 ready=549 available=549 bad=0 stable=0
2026-06-27T05:35:34Z desired=501 ready=499 available=499 bad=0 stable=0
2026-06-27T05:35:48Z desired=501 ready=499 available=499 bad=0 stable=0
2026-06-27T05:36:38Z desired=451 ready=449 available=449 bad=0 stable=0
2026-06-27T05:36:52Z desired=451 ready=449 available=449 bad=0 stable=0
2026-06-27T05:37:42Z desired=401 ready=399 available=399 bad=0 stable=0
2026-06-27T05:37:56Z desired=401 ready=399 available=399 bad=0 stable=0
2026-06-27T05:38:46Z desired=351 ready=349 available=349 bad=0 stable=0
2026-06-27T05:39:00Z desired=351 ready=349 available=349 bad=0 stable=0
2026-06-27T05:39:50Z desired=301 ready=187 available=193 bad=0 stable=0
2026-06-27T05:40:04Z desired=301 ready=248 available=257 bad=0 stable=0
2026-06-27T05:40:55Z desired=301 ready=299 available=299 bad=0 stable=0
2026-06-27T05:41:08Z desired=301 ready=299 available=299 bad=0 stable=0
2026-06-27T05:41:59Z desired=301 ready=299 available=299 bad=0 stable=0
2026-06-27T05:42:11Z desired=301 ready=299 available=299 bad=0 stable=0
2026-06-27T05:43:03Z desired=301 ready=299 available=299 bad=0 stable=0
2026-06-27T05:43:15Z desired=301 ready=299 available=299 bad=0 stable=0
2026-06-27T05:44:07Z desired=301 ready=299 available=299 bad=0 stable=0
2026-06-27T05:44:19Z desired=301 ready=299 available=299 bad=0 stable=0
2026-06-27T05:45:11Z desired=301 ready=299 available=299 bad=0 stable=0
2026-06-27T05:45:23Z desired=301 ready=299 available=299 bad=0 stable=0
2026-06-27T05:46:15Z desired=301 ready=299 available=299 bad=0 stable=0
2026-06-27T05:46:26Z desired=301 ready=299 available=299 bad=0 stable=0
2026-06-27T05:47:19Z desired=301 ready=299 available=299 bad=0 stable=0
2026-06-27T05:47:30Z desired=301 ready=299 available=299 bad=0 stable=0
2026-06-27T05:48:23Z desired=301 ready=299 available=299 bad=0 stable=0
2026-06-27T05:48:34Z desired=301 ready=299 available=299 bad=0 stable=0
2026-06-27T05:49:28Z desired=301 ready=299 available=299 bad=0 stable=0
2026-06-27T05:49:38Z desired=251 ready=237 available=237 bad=0 stable=0
2026-06-27T05:50:31Z desired=251 ready=249 available=249 bad=2 stable=0
2026-06-27T05:50:41Z deleted_bad_pods=2
2026-06-27T05:50:41Z desired=201 ready=199 available=199 bad=0 stable=0
